SUM of Total Students,,Student Group,,,,,,,,Expected Vaules ,,,,,,,my X^2,,,,,,,,,
Course,Year,Asian,Black,Hispanic/Latino,Multi-Race NH,Nat Hawaiian - Pac. Islander,Native American,White,Grand Total,Asian,Black,Hispanic/Latino,Multi-Race NH,Nat Hawaiian - Pac. Islander,Native American,White,Asian,Black,Hispanic/Latino,Multi-Race NH,Nat Hawaiian - Pac. Islander,Native American,White,Result,p-value:,Cohen's w
HN Mutivariable Calculus,2021,12,3,2,3,,,16,36,3.816,9.828,5.472,3.42,0.108,0.072,13.392,17.55184906,4.743750916,2.202994152,0.05157894737,0.108,0.072,0.5078900836,25.23806316,0.0001253329774,0.8372916516
HN Mutivariable Calculus Total,,12,3,2,3,,,16,36,4.0608,9.5616,5.3424,3.4848,0.0504,0.1008,13.392,15.52179291,4.50286506,2.091127164,0.0674446281,0.0504,0.1008,0.5078900836,22.84231984,0.0003618175114,0.7965606597
HN Pre-Calculus,2020,38,34,15,20,4,1,130,242,23.716,66.308,36.784,20.328,0.968,0.484,93.17,8.603164783,15.74179381,12.90078991,0.005292404565,9.49692562,0.5501157025,14.55885907,61.8569413,0,0.5055761026
,2021,30,48,29,28,,1,130,266,28.196,72.618,40.432,25.27,0.798,0.532,98.952,0.1154211945,8.345670825,3.232356154,0.2949307479,0.798,0.4116992481,9.741877921,22.93995609,0.0008168402917,0.2936672206
,2022,32,33,23,23,,,113,224,24.864,58.464,34.048,22.4,0,0.672,83.552,2.048041184,11.09084729,3.584889098,0.01607142857,0,0.672,10.378982,27.790831,0.0001028788197,0.3522303363
,2023,33,51,27,19,,,106,236,28.084,61.124,34.22,24.544,0,0.708,87.32,0.8605275602,1.6768434,1.523331385,1.252279009,0,0.708,3.996133761,10.01711512,0.1239331128,0.2060228216
,2024,53,59,24,33,,,131,300,39,79.2,42.3,30.3,0,1.2,108,5.025641026,5.152020202,7.917021277,0.2405940594,0,1.2,4.898148148,24.43342471,0.0001791878721,0.2853852642
HN Pre-Calculus Total,,186,225,118,123,4,2,610,1268,143.0304,336.7808,188.1712,122.7424,1.7752,3.5504,471.696,12.90904957,37.10112705,26.16764579,0.0005406262221,2.78826895,0.6770336187,40.55153407,120.1951997,0,0.3078817418
HRV Math Linear Algebra 21B Total,,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,
HRV Mltvrbl Calculus Total,,3,,,1,,,7,11,,,,,,,,,,,,,,,,,
Intro to Design Thinking Total,,0,7,0,0,,,7,14,,,,,,,,,,,,,,,,,
Math & Gaming Total,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,
Math & Law Total,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,
Math & Society Total,,0,19,0,0,,0,0,19,,,,,,,,,,,,,,,,,
Math Fundamentals Total,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
Math in Careers Total,,0,15,0,0,,,0,15,,,,,,,,,,,,,,,,,
