SUM of Total Students,,Student Group,,,,,,,,Expected Vaules ,,,,,,,my X^2,,,,,,,,,
Course,Year,Asian,Black,Hispanic/Latino,Multi-Race NH,Nat Hawaiian - Pac. Islander,Native American,White,Grand Total,Asian,Black,Hispanic/Latino,Multi-Race NH,Nat Hawaiian - Pac. Islander,Native American,White,Asian,Black,Hispanic/Latino,Multi-Race NH,Nat Hawaiian - Pac. Islander,Native American,White,Result,p-value:,Cohen's w
Pre-Calc w Quantita Reasoning Total,,27,65,29,6,0,,52,179,20.1912,47.5424,26.5636,17.3272,0.2506,0.5012,66.588,2.296037751,6.410442,0.2234653797,7.404858248,0.2506,0.5012,3.195917342,20.28252072,0.001105981135,0.3366157626
SE Algebra 1A Total,,0,8,0,,,,0,8,,,,,,,,,,,,,,,,,
SE Algebra 1B Total,,0,7,6,0,,,0,13,,,,,,,,,,,,,,,,,
SE Geometry A Total,,0,6,0,,,,6,12,,,,,,,,,P-value avg,~0,max val,0,,,,,
SE Geometry B Total,,0,6,0,,,,0,6,,,,,,,,,cohen's w avg,0.3528,,,,,,,
SE Pre Algebra A Total,,0,7,6,0,,,,13,,,,,,,,,,,,,,,,,
SE Pre Algebra B Total,,0,17,7,0,,,0,24,,,,,,,,,,,,,,,,,
Statistics & Society Total,,0,16,9,0,,,0,25,,,,,,,,,,,,,,,,,
Statistics & Society:  Mathematics (HN Opt) Total,,0,6,0,0,0,,0,6,,,,,,,,,,,,,,,,,
Statistics & Trigonometry Total,,0,33,11,0,,,26,70,,,,,,,,,,,,,,,,,
Statistics & Trigonometry (HN Opt) Total,,0,20,0,0,,,15,35,,,,,,,,,,,,,,,,,
Transition Skills Math 1 Total,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
Transition Skills Math 2 Total,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
Transition Skills Math 3 Total,,,6,0,,,,0,6,,,,,,,,,,,,,,,,,
Grand Total,,1351,3481,1827,1119,12,35,4481,12306,,,,,,,,,,,,,,,,,
